trip,value
"Alcacer do Sal - Pinhal Novo PV","5.85"
"Alverca PV - Aveiras de Cima","2.25"
"Alverca PV - Benavente No","2.50"
"Alverca PV - Coimbra Norte","14.25"
"Alverca PV - Condeixa","13.35"
"Alverca PV - Pombal","11.20"
"Alverca PV - Sto. Estevao","4.20"
"Alverca PV - V.F.Xira","0.65"
"Arruda - Alverca PV","0.90"
"Aveiras de Cima - Alverca PV","2.25"
"Belverde NP - Palhais NP","1.40"
"Benavente No - Alverca PV","2.50"
"Benavente No - Arruda","2.30"
"Bombarral - Loures","4.85"
"Bombarral - Mafra Este","4.90"
"Bombarral - Odivelas","5.20"
"Carcavelos PV - Carcavelos PV","1.35"
"Carregado - Alverca PV","1.30"
"Coimbra Norte - Alverca PV","14.25"
"Coimbra Sul - Alverca PV","13.75"
"Coina I - Coina I","0.75"
"Coina NP - Coina NP","0.30"
"Coina PV - Grandola Norte","7.65"
"Coina PV - Grandola Sul","9.05"
"Coina PV - Setubal PV","1.85"
"Ericeira - Mafra Oeste","0.55"
"Grandola Norte - Pinhal Novo PV","7.90"
"Grandola Sul - Coina PV","9.05"
"Leiria Sul - Tornada PV","4.60"
"Loures - Bombarral","4.85"
"Loures - Mafra Este","1.65"
"Loures - Malveira","1.10"
"Louriçal - Mira Nó","5.25"
"Mafra Este - Belas PV","3.50"
"Mafra Este - Bombarral","4.90"
"Mafra Este - Loures","1.65"
"Mafra Este - Odivelas","2.00"
"Mafra Este - Pontinha","2.65"
"Mafra Este - Queluz PV","3.50"
"Mafra Oeste - Ericeira","0.55"
"Malveira - Loures","1.10"
"Malveira - Mafra Este","0.55"
"Marinha G. Este - Tornada PV","4.20"
"Oeiras I - Oeiras I","0.35"
"Oeiras II - Oeiras II","0.35"
"P. 25 de Abril - P. 25 de Abril","1.75"
"P.Vasco da Gama - P.Vasco da Gama","2.75"
"Paderne PV - Castro Verde","5.75"
"Palhais PN - Palhais PN","0.65"
"Pinhal Novo PV - Paderne PV","20.65"
"Pinhal Novo PV - Setubal PV","2.10"
"Queluz PV - Mafra Este","3.50"
"S. Pedro - S. Pedro","1.00"
"Setubal PV - Coina PV","1.90"
"Setubal PV - Grandola Sul","7.80"
"Setubal PV - Pinhal Novo PV","2.10"
"Sto. Estevao - Carregado","3.10"
"Tocha - Tornada PV","11.30"
"Tornada PV - Marinha G. Este","4.20"
"V.F.Xira II NS - Alverca PV","0.40"
